Date,BTC Volume,BTC Daily Volume Change (%),BTC New Coins Mined,BTC New Coins Mined (%),BTC Active Addresses,BTC Daily Active Addresses Change (%),BTC Transactions,BTC Daily Transactions Change (%)
2009-06-09,0.0,,4550.0,0.10975609756097571,0,,0,
2009-06-10,0.0,,4100.0,-0.09890109890109888,0,,0,
2009-06-11,0.0,,4450.0,0.08536585365853666,0,,0,
2009-06-12,0.0,,4300.0,-0.0337078651685393,0,,0,
2009-06-13,0.0,,3900.0,-0.09302325581395354,0,,0,
2009-06-14,0.0,,3600.0,-0.07692307692307687,0,,0,
2009-06-15,0.0,,4200.0,0.16666666666666674,0,,0,
2009-06-16,0.0,,3550.0,-0.15476190476190477,0,,0,
2009-06-17,0.0,,3950.0,0.11267605633802824,0,,0,
2009-06-18,0.0,,4000.0,0.012658227848101333,0,,0,
2009-06-19,0.0,,4350.0,0.08749999999999991,0,,0,
2009-06-20,0.0,,3900.0,-0.10344827586206895,0,,0,
2009-06-21,0.0,,4050.0,0.03846153846153855,0,,0,
2009-06-22,3000.0,inf,3800.0,-0.06172839506172845,61,inf,1,inf
2009-06-23,0.0,-1.0,3800.0,0.0,0,-1.0,0,-1.0
2009-06-24,148.98,inf,4750.0,0.25,5,inf,2,inf
2009-06-25,1000.0,5.7123103772318435,3400.0,-0.28421052631578947,21,3.2,1,-0.5
2009-06-26,0.0,-1.0,4500.0,0.32352941176470584,0,-1.0,0,-1.0
2009-06-27,0.0,,4200.0,-0.06666666666666665,0,,0,
2009-06-28,50.0,inf,2300.0,-0.45238095238095233,2,inf,1,inf
2009-06-29,50.0,0.0,4150.0,0.8043478260869565,2,0.0,1,0.0
2009-06-30,95.0,0.8999999999999999,4250.0,0.024096385542168752,4,1.0,1,0.0
2009-07-01,100.0,0.05263157894736836,3700.0,-0.12941176470588234,3,-0.25,1,0.0
2009-07-02,50.0,-0.5,4150.0,0.12162162162162171,2,-0.33333333333333337,1,0.0
2009-07-03,0.0,-1.0,4100.0,-0.012048192771084376,0,-1.0,0,-1.0
2009-07-04,0.0,,4450.0,0.08536585365853666,0,,0,
2009-07-05,0.0,,3950.0,-0.1123595505617978,0,,0,
2009-07-06,0.0,,4200.0,0.06329113924050622,0,,0,
2009-07-07,0.0,,3450.0,-0.1785714285714286,0,,0,
2009-07-08,0.0,,3700.0,0.07246376811594213,0,,0,
2009-07-09,0.0,,4300.0,0.16216216216216206,0,,0,
2009-07-10,0.0,,4050.0,-0.05813953488372092,0,,0,
2009-07-11,0.0,,4150.0,0.024691358024691468,0,,0,
2009-07-12,0.0,,3850.0,-0.07228915662650603,0,,0,
2009-07-13,0.0,,3900.0,0.01298701298701288,0,,0,
2009-07-14,0.0,,3450.0,-0.11538461538461542,0,,0,
2009-07-15,0.0,,2250.0,-0.34782608695652173,0,,0,
2009-07-16,0.0,,3550.0,0.5777777777777777,0,,0,
2009-07-17,0.0,,2350.0,-0.3380281690140845,0,,0,
2009-07-18,0.0,,200.0,-0.9148936170212766,0,,0,
2009-07-19,0.0,,3500.0,16.5,0,,0,
